AGREGAÇÃO,LOCALIDADE,RECONHECIMENTO,GESTOR,TIPO,FONTE,EIXO,SUBEIXO,FINALIDADE,PAGO/CONCEDIDO,PAGO_CONCEDIDO_NUM,GESTOR_NOME,GESTOR_SIGLA_NOME
Regional,RIO GRANDE DO SUL,Estado de Calamidade Pública,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos,68400.0,68400.0,Ministério da Educação,MEC (Ministério da Educação)
Regional,RIO GRANDE DO SUL,Estado de Calamidade Pública,MF,Recursos Novos,Orçamento Federal,Apoio às Empresas,Recursos Novos para Empresas,Apoio financeiro a pescadores artesanais e empregadas domésticas,342570148.18,342570148.18,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ACEGUÁ,Situação de Emergência,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Auxílio-Gas,9384.0,9384.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ACEGUÁ,Situação de Emergência,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Bolsa-Família,234624.0,234624.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ACEGUÁ,Situação de Emergência,MDS,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Bolsa Família: novas famílias incluídas,7110.0,7110.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ACEGUÁ,Situação de Emergência,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Alimentação escolar: parcela extra,8753.0,8753.0,Ministério da Educação,MEC (Ministério da Educação)
Municipal,ACEGUÁ,Situação de Emergência,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos,7600.0,7600.0,Ministério da Educação,MEC (Ministério da Educação)
Municipal,ACEGUÁ,Situação de Emergência,MF,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do IRPF,156867.0,156867.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ACEGUÁ,Situação de Emergência,MF,Prorrogação,Financiamento,Apoio às Empresas,Prorrogações,Prorrogação de tributos e suspensão de dívidas,1055677.8666666667,1055677.8666666667,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ACEGUÁ,Situação de Emergência,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Agricultores,PRONAMPE SOLIDÁRIO,237324.94,237324.94,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ACEGUÁ,Situação de Emergência,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Empresas,Programa Emergencial de Acesso a Crédito (PEAC),85000.0,85000.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ACEGUÁ,Situação de Emergência,MF,Recursos Novos,Orçamento Federal,Apoio às Empresas,Crédito para Empresas,Crédito a empresas de todos os portes via Fundo Social,8597935.85,8597935.85,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ACEGUÁ,Situação de Emergência,MIDR,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Defesa Civil,"Defesa Civil: resgate, resposta e reconstrução",15527.8,15527.8,Ministério da Integração e do Desenvolvimento Regional,MIDR (Ministério da Integração e do Desenvolvimento Regional)
Municipal,ACEGUÁ,Situação de Emergência,MPS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação dos Benefícios Previdenciários,1308270.1699999997,1308270.1699999997,Ministério da Previdência Social,MPS (Ministério da Previdência Social)
Municipal,ACEGUÁ,Situação de Emergência,MS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Piso Nacional da Enfermagem,4733.19,4733.19,Ministério da Saúde,MS (Ministério da Saúde)
Municipal,ACEGUÁ,Situação de Emergência,MTE,Antecipação,Financiamento,Cuidado com as Pessoas,Antecipação,FGTS - Saque Calamidade,471849.74,471849.74,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,ACEGUÁ,Situação de Emergência,MTE,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Abono Salarial,112163.0,112163.0,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,ACEGUÁ,Situação de Emergência,MTE,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Seguro desemprego,195587.86,195587.86,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,ÁGUA SANTA,Nem Emergência / Nem Calamidade,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Auxílio-Gas,4896.0,4896.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ÁGUA SANTA,Nem Emergência / Nem Calamidade,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Bolsa-Família,173361.0,173361.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ÁGUA SANTA,Nem Emergência / Nem Calamidade,MDS,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Bolsa Família: novas famílias incluídas,12160.0,12160.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ÁGUA SANTA,Nem Emergência / Nem Calamidade,MF,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do IRPF,232098.0,232098.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ÁGUA SANTA,Nem Emergência / Nem Calamidade,MTE,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Abono Salarial,115918.0,115918.0,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,AGUDO,Estado de Calamidade Pública,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Auxílio-Gas,11118.0,11118.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AGUDO,Estado de Calamidade Pública,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Bolsa-Família,618796.0,618796.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AGUDO,Estado de Calamidade Pública,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do BPC,385476.0,385476.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AGUDO,Estado de Calamidade Pública,MDS,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Bolsa Família: novas famílias incluídas,47325.0,47325.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AGUDO,Estado de Calamidade Pública,MDS,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Assistência Social,"Segurança alimentar e assistência social: PAA, cestas, abrigos e parcela extra SUAS",40000.0,40000.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AGUDO,Estado de Calamidade Pública,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Alimentação escolar: parcela extra,29778.4,29778.4,Ministério da Educação,MEC (Ministério da Educação)
Municipal,AGUDO,Estado de Calamidade Pública,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos,83600.0,83600.0,Ministério da Educação,MEC (Ministério da Educação)
Municipal,AGUDO,Estado de Calamidade Pública,MF,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do IRPF,706535.0,706535.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AGUDO,Estado de Calamidade Pública,MF,Prorrogação,Financiamento,Apoio às Empresas,Prorrogações,Prorrogação de tributos e suspensão de dívidas,4598452.305561839,4598452.305561839,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AGUDO,Estado de Calamidade Pública,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Agricultores,PRONAF/PRONAMP,62022116.42,62022116.42,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AGUDO,Estado de Calamidade Pública,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Agricultores,PRONAMPE SOLIDÁRIO,5361224.51,5361224.51,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AGUDO,Estado de Calamidade Pública,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Empresas,Programa Emergencial de Acesso a Crédito (PEAC),2597000.0,2597000.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AGUDO,Estado de Calamidade Pública,MF,Recursos Novos,Orçamento Federal,Apoio às Empresas,Crédito para Empresas,Crédito a empresas de todos os portes via Fundo Social,3479362.13,3479362.13,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AGUDO,Estado de Calamidade Pública,MF,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Fundo de Participação dos Municípios,Fundo de Participação dos Municípios (FPM),2282874.31,2282874.31,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AGUDO,Estado de Calamidade Pública,MIDR,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Auxílio Reconstrução,1927800.0,1927800.0,Ministério da Integração e do Desenvolvimento Regional,MIDR (Ministério da Integração e do Desenvolvimento Regional)
Municipal,AGUDO,Estado de Calamidade Pública,MIDR,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Defesa Civil,"Defesa Civil: resgate, resposta e reconstrução",881695.0,881695.0,Ministério da Integração e do Desenvolvimento Regional,MIDR (Ministério da Integração e do Desenvolvimento Regional)
Municipal,AGUDO,Estado de Calamidade Pública,MPS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação dos Benefícios Previdenciários,7500215.700000002,7500215.700000002,Ministério da Previdência Social,MPS (Ministério da Previdência Social)
Municipal,AGUDO,Estado de Calamidade Pública,MS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Piso Nacional da Enfermagem,5508.49,5508.49,Ministério da Saúde,MS (Ministério da Saúde)
Municipal,AGUDO,Estado de Calamidade Pública,MS,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Saúde,Atenção Primária - custeio de serviços: aumento demanda,91543.46,91543.46,Ministério da Saúde,MS (Ministério da Saúde)
Municipal,AGUDO,Estado de Calamidade Pública,MS,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Saúde,"Vigilância epidemiológica: rede de frios, computadores e vacinas",171070.0,171070.0,Ministério da Saúde,MS (Ministério da Saúde)
Municipal,AGUDO,Estado de Calamidade Pública,MTE,Antecipação,Financiamento,Cuidado com as Pessoas,Antecipação,FGTS - Saque Calamidade,5395731.9,5395731.9,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,AGUDO,Estado de Calamidade Pública,MTE,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Abono Salarial,765647.0,765647.0,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,AGUDO,Estado de Calamidade Pública,MTE,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Seguro desemprego,268425.36,268425.36,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,AJURICABA,Situação de Emergência,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Auxílio-Gas,10098.0,10098.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AJURICABA,Situação de Emergência,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Bolsa-Família,202253.0,202253.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AJURICABA,Situação de Emergência,MDS,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Bolsa Família: novas famílias incluídas,3450.0,3450.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,AJURICABA,Situação de Emergência,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Alimentação escolar: parcela extra,652.2,652.2,Ministério da Educação,MEC (Ministério da Educação)
Municipal,AJURICABA,Situação de Emergência,MF,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do IRPF,374364.0,374364.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AJURICABA,Situação de Emergência,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Agricultores,PRONAF/PRONAMP,10944115.64,10944115.64,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AJURICABA,Situação de Emergência,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Agricultores,PRONAMPE SOLIDÁRIO,1316200.0,1316200.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AJURICABA,Situação de Emergência,MF,Recursos Novos,Orçamento Federal,Apoio às Empresas,Crédito para Empresas,Crédito a empresas de todos os portes via Fundo Social,4252128.17,4252128.17,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,AJURICABA,Situação de Emergência,MIDR,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Auxílio Reconstrução,45900.0,45900.0,Ministério da Integração e do Desenvolvimento Regional,MIDR (Ministério da Integração e do Desenvolvimento Regional)
Municipal,AJURICABA,Situação de Emergência,MTE,Antecipação,Financiamento,Cuidado com as Pessoas,Antecipação,FGTS - Saque Calamidade,1547068.26,1547068.26,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,AJURICABA,Situação de Emergência,MTE,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Abono Salarial,382819.0,382819.0,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
Municipal,ALECRIM,Situação de Emergência,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Auxílio-Gas,2040.0,2040.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ALECRIM,Situação de Emergência,MDS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Bolsa-Família,310453.0,310453.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ALECRIM,Situação de Emergência,MDS,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Bolsa Família: novas famílias incluídas,12950.0,12950.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Municipal,ALECRIM,Situação de Emergência,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Alimentação escolar: parcela extra,326.40000000000003,326.40000000000003,Ministério da Educação,MEC (Ministério da Educação)
Municipal,ALECRIM,Situação de Emergência,MEC,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Educação,Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos,15200.0,15200.0,Ministério da Educação,MEC (Ministério da Educação)
Municipal,ALECRIM,Situação de Emergência,MF,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do IRPF,229531.0,229531.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ALECRIM,Situação de Emergência,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Agricultores,PRONAF/PRONAMP,7807681.95,7807681.95,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ALECRIM,Situação de Emergência,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Agricultores,PRONAMPE SOLIDÁRIO,416216.0,416216.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ALECRIM,Situação de Emergência,MF,Recursos Novos,Orçamento Federal,Apoio às Empresas,Crédito para Empresas,Crédito a empresas de todos os portes via Fundo Social,1422608.63,1422608.63,Ministério da Fazenda,MF (Ministério da Fazenda)
Municipal,ALECRIM,Situação de Emergência,MIDR,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recursos Novos,Auxílio Reconstrução,10200.0,10200.0,Ministério da Integração e do Desenvolvimento Regional,MIDR (Ministério da Integração e do Desenvolvimento Regional)
Municipal,ALECRIM,Situação de Emergência,MS,Antecipação,Orçamento Federal,Cuidado com as Pessoas,Antecipação,Antecipação do Piso Nacional da Enfermagem,7898.77,7898.77,Ministério da Saúde,MS (Ministério da Saúde)
Municipal,ALECRIM,Situação de Emergência,MTE,Antecipação,Financiamento,Cuidado com as Pessoas,Antecipação,FGTS - Saque Calamidade,930813.5,930813.5,Ministério do Trabalho e Emprego,MTE (Ministério do Trabalho e Emprego)
